id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|राष्ट्रीय एकता का क्या अर्थ है?|राष्ट्र के सभी नागरिकों में एकता और भाईचारे की भावना|केवल एक धर्म का पालन करना|देश को अलग-अलग टुकड़ों में बांटना|केवल भाषा के आधार पर एकजुट होना|राष्ट्र के सभी नागरिकों में एकता और भाईचारे की भावना|AEC-4_U2_T2.1|30
2|किसी देश के विकास और प्रगति के लिए सबसे मौलिक आवश्यकता क्या है?|आंतरिक अशांति|राष्ट्रीय एकता और अखंडता|जातीय संघर्ष|क्षेत्रीय विषमता|राष्ट्रीय एकता और अखंडता|AEC-4_U2_T2.1|30
3|भारत में 'विविधता में एकता' का मुख्य कारण क्या है?|सांस्कृतिक समरसता और राष्ट्रीय चेतना|एक ही भाषा बोलना|सबका एक ही खान-पान होना|सबकी एक जैसी भौगोलिक स्थिति|सांस्कृतिक समरसता और राष्ट्रीय चेतना|AEC-4_U2_T2.1|30
4|राष्ट्रीय एकता दिवस (National Unity Day) किसकी जयंती पर मनाया जाता है?|महात्मा गांधी|सरदार वल्लभभाई पटेल|पंडित जवाहरलाल नेहरू|डॉ. बी. आर. अम्बेडकर|सरदार वल्लभभाई पटेल|AEC-4_U2_T2.1|30
5|राष्ट्रीय एकता दिवस प्रतिवर्ष किस तिथि को मनाया जाता है?|15 अगस्त|26 जनवरी|31 अक्टूबर|2 अक्टूबर|31 अक्टूबर|AEC-4_U2_T2.1|30
6|सरदार वल्लभभाई पटेल को राष्ट्रीय एकता का प्रतीक क्यों माना जाता है?|उन्होंने 500 से अधिक देसी रियासतों का भारत में विलय कराया|वे भारत के पहले प्रधानमंत्री थे|उन्होंने संविधान लिखा था|वे विदेशों में भारत के राजदूत थे|उन्होंने 500 से अधिक देसी रियासतों का भारत में विलय कराया|AEC-4_U2_T2.1|30
7|राष्ट्रीय एकता परिषद (National Integration Council) का गठन किस वर्ष किया गया था?|1950|1961|1975|1990|1961|AEC-4_U2_T2.1|30
8|राष्ट्रीय एकता परिषद के अध्यक्ष कौन होते हैं?|राष्ट्रपति|गृहमंत्री|भारत के प्रधानमंत्री|चीफ ऑफ डिफेंस स्टाफ|भारत के प्रधानमंत्री|AEC-4_U2_T2.1|30
9|राष्ट्रीय सुरक्षा को सुदृढ़ करने के लिए सबसे आवश्यक कारक क्या है?|सांप्रदायिक सौहार्द और राष्ट्रीय एकता|सैन्य बजट में कमी|विदेशी निर्भरता|क्षेत्रीय समूहों का निर्माण|सांप्रदायिक सौहार्द और राष्ट्रीय एकता|AEC-4_U2_T2.1|30
10|राष्ट्रीय एकता से देश में किस प्रकार की वातावरण का निर्माण होता है?|शांति, सुरक्षा और समृद्धि|अस्थिरता और गृहयुद्ध|आर्थिक मंदी|विभाजनकारी भावनाएँ|शांति, सुरक्षा और समृद्धि|AEC-4_U2_T2.1|30
11|भारत के संविधान की किस प्रस्तावना में एकता और अखंडता शब्द शामिल हैं?|32वें संशोधन में|42वें संविधान संशोधन 1976 में|44वें संशोधन में|86वें संशोधन में|42वें संविधान संशोधन 1976 में|AEC-4_U2_T2.1|30
12|संविधान की प्रस्तावना में "बंधुता" (Fraternity) शब्द का क्या उद्देश्य है?|व्यक्ति की गरिमा और राष्ट्र की एकता सुनिश्चित करना|केवल व्यापार को बढ़ावा देना|चुनावी प्रक्रिया को आसान बनाना|विदेशी मुद्रा आकर्षित करना|व्यक्ति की गरिमा और राष्ट्र की एकता सुनिश्चित करना|AEC-4_U2_T2.1|30
13|राष्ट्रीय प्रतीक जैसे राष्ट्रध्वज और राष्ट्रगान किस भावना को मजबूत करते हैं?|क्षेत्रवाद|राष्ट्रीय एकता और गौरव|जातिवाद|व्यक्तिगत स्वतंत्रता|राष्ट्रीय एकता और गौरव|AEC-4_U2_T2.1|30
