id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|What is the primary focus of prosodic drills in applied phonetics?|Phonemic transcription of single words|Oral practice of speech rhythm, stress, and intonation|Studying historical sound shifts|Anatomical study of vocal cords|Oral practice of speech rhythm, stress, and intonation|MJC-6_U4_T4.2|30
2|Which suprasegmental feature is practiced when performing word stress placement drills?|Vowel height|Relative auditory prominence of a syllable|Aspiration of stops|Nasal air escape|Relative auditory prominence of a syllable|MJC-6_U4_T4.2|30
3|In prosodic stress drills, which acoustic parameter is most crucial for perceiving a stressed syllable?|Higher pitch, longer duration, and greater loudness|Lower volume and short duration|Complete breath stoppage|Whispering quality|Higher pitch, longer duration, and greater loudness|MJC-6_U4_T4.2|30
4|Where is the primary stress placed during oral practice of the noun record?|On the second syllable|On the first syllable|On both syllables equally|No stress is applied|On the first syllable|MJC-6_U4_T4.2|30
5|Where is the primary stress placed during oral practice of the verb record?|On the first syllable|On the second syllable|On the suffix|Stress is omitted|On the second syllable|MJC-6_U4_T4.2|30
6|When practicing stress shift in derivatives, where does the stress move from photograph to photographic?|From first to third syllable|From second to first syllable|It remains on the first syllable|From third to second syllable|From first to third syllable|MJC-6_U4_T4.2|30
7|In English sentence stress drills, which category of words typically receives strong stress?|Function words|Content words|Articles|Prepositions|Content words|MJC-6_U4_T4.2|30
8|Which of the following is a function word that usually remains unstressed in prosodic sentence drills?|Noun|Main verb|Auxiliary verb / Article|Adjective|Auxiliary verb / Article|MJC-6_U4_T4.2|30
9|What happens to unstressed vowels during fluent speech prosody drills?|They become prolonged|They are reduced to schwa /ə/ or short /ɪ/|They turn into diphthongs|They gain high pitch|They are reduced to schwa /ə/ or short /ɪ/|MJC-6_U4_T4.2|30
10|Which term describes the pitch movement across an entire sentence or tone unit during speech drills?|Aspiration|Intonation|Coarticulation|Nasalization|Intonation|MJC-6_U4_T4.2|30
11|Which intonation pattern is standard for practicing simple declarative statements in English?|Rising tone|Falling tone|Fall-rise tone|Level tone|Falling tone|MJC-6_U4_T4.2|30
12|Which intonation pattern is primarily practiced for standard Yes/No questions in English?|Falling tone|Rising tone|Rise-fall tone|Level tone|Rising tone|MJC-6_U4_T4.2|30
13|When practicing Wh-questions (e.g., Where are you going?), which intonation contour is normally used?|Rising tone|Falling tone|Level tone|Fall-rise tone|Falling tone|MJC-6_U4_T4.2|30
14|Which intonation pattern is drilled to express reservation, doubt, or polite request?|Falling tone|Fall-rise tone|Rise-fall tone|Flat tone|Fall-rise tone|MJC-6_U4_T4.2|30
15|Which intonation pattern is used in prosodic drills to convey strong surprise or enthusiasm?|Rise-fall tone|Falling tone|Low level tone|Rising tone|Rise-fall tone|MJC-6_U4_T4.2|30
16|What is the tonic syllable in a tone unit during intonation drills?|The first unstressed syllable|The syllable carrying the main pitch movement|The final consonant|The silent pause|The syllable carrying the main pitch movement|MJC-6_U4_T4.2|30
17|English is rhythmically classified in prosodic studies as a|Syllable-timed language|Stress-timed language|Mora-timed language|Tone-timed language|Stress-timed language|MJC-6_U4_T4.2|30
18|What does stress-timed rhythm mean during oral sentence drills?|All syllables take equal time|Stressed syllables recur at roughly equal intervals of time|Unstressed syllables are spoken very slowly|Every word receives primary stress|Stressed syllables recur at roughly equal intervals of time|MJC-6_U4_T4.2|30
19|What metric unit consists of one stressed syllable together with any following unstressed syllables in speech rhythm drills?|Tone group|Foot|Morpheme|Phoneme|Foot|MJC-6_U4_T4.2|30
20|What process is practiced when reducing a strong form like /ænd/ to its weak form /ənd/ or /n/ in connected speech drills?|Vowel lengthenings|Vowel reduction in unstressed positions|Nasal stoppage|Consonant doubling|Vowel reduction in unstressed positions|MJC-6_U4_T4.2|30
21|Where is the primary stress placed in the word academic during prosodic drills?|On the first syllable|On the second syllable|On the third syllable|On the fourth syllable|On the third syllable|MJC-6_U4_T4.2|30
22|Which suffix usually attracts primary stress to the syllable immediately preceding it in stress drills?| -ic| -ful| -less| -ness| -ic|MJC-6_U4_T4.2|30
23|In prosodic transcription, where is the high vertical tick for primary stress placed?|After the stressed syllable|Directly before the stressed syllable at the top|Under the vowel|At the end of the sentence|Directly before the stressed syllable at the top|MJC-6_U4_T4.2|30
24|In prosodic transcription, how is secondary stress marked?|With a high tick|With a low vertical mark before the syllable|With an underline|With an asterisk|With a low vertical mark before the syllable|MJC-6_U4_T4.2|30
25|When practicing compound noun stress drills (e.g., blackbird vs. black bird), where does primary stress fall on the compound noun?|On the first element|On the second element|On both elements equally|No stress on either|On the first element|MJC-6_U4_T4.2|30
26|In adjective + noun phrase drills (e.g., a black bird), where does primary stress typically fall?|On the adjective|On the noun|On the article|Equally on all words|On the noun|MJC-6_U4_T4.2|30
27|Which component of a tone unit follows the tonic syllable in intonation drills?|Pre-head|Head|Tail|Onset|Tail|MJC-6_U4_T4.2|30
28|What component of a tone unit consists of unstressed syllables before the first stressed syllable?|Pre-head|Tonic syllable|Tail|Nucleus|Pre-head|MJC-6_U4_T4.2|30
29|Which intonation contour is practiced when listing items (e.g., apples, oranges, and bananas)?|Falling on all items|Rising on preliminary items and falling on the last item|Fall-rise on all items|Level tone throughout|Rising on preliminary items and falling on the last item|MJC-6_U4_T4.2|30
30|In tag questions expecting agreement (e.g., It's cold, isn't it?), which intonation pattern is used?|Falling tone|Rising tone|Rise-fall tone|Level tone|Falling tone|MJC-6_U4_T4.2|30
31|In tag questions seeking genuine information (e.g., You're coming, aren't you?), which intonation pattern is practiced?|Falling tone|Rising tone|Level tone|Flat tone|Rising tone|MJC-6_U4_T4.2|30
32|Where does stress fall in verbs ending in -ate with three or more syllables (e.g., educate)?|On the final syllable|On the antepenultimate syllable (two before -ate)|On the suffix -ate only|Stress is absent|On the antepenultimate syllable (two before -ate)|MJC-6_U4_T4.2|30
33|Where does primary stress fall in words ending with the suffix -ation (e.g., examination)?|On the first syllable|On the syllable immediately before -tion|On the last letter|On the prefix|On the syllable immediately before -tion|MJC-6_U4_T4.2|30
34|Contrastive stress drills are used in spoken English to|Highlight specific information or correct a statement|Practice isolated vowel sounds|Speed up speech delivery|Eliminate pauses completely|Highlight specific information or correct a statement|MJC-6_U4_T4.2|30
35|In the sentence I said RED dress, not blue, what type of stress is applied to RED?|Word stress|Contrastive / Emphatic stress|Secondary stress|Unstressed reduction|Contrastive / Emphatic stress|MJC-6_U4_T4.2|30
36|Which function of intonation helps distinguish a statement from a question?|Attitudinal function|Grammatical function|Accentual function|Discourse function|Grammatical function|MJC-6_U4_T4.2|30
37|Which function of intonation indicates new versus given information in a sentence?|Discourse function|Attitudinal function|Physiological function|Grammatical function|Discourse function|MJC-6_U4_T4.2|30
38|What type of tone is practiced when signaling that a speaker has not yet finished their turn?|Final falling tone|Non-final rising or fall-rise tone|Low flat tone|Sudden pitch drop|Non-final rising or fall-rise tone|MJC-6_U4_T4.2|30
39|In two-syllable reflexive pronouns (e.g., myself, himself), where is the primary stress placed?|On the first syllable|On the second syllable (-self)|On both syllables|Neither syllable|On the second syllable (-self)|MJC-6_U4_T4.2|30
40|In numbers ending in -teen (e.g., thirteen) versus -ty (e.g., thirty), where does primary stress fall in -teen numbers during isolation practice?|On the first syllable|On the suffix -teen|On neither|On alternate beats|On the suffix -teen|MJC-6_U4_T4.2|30
41|Where does primary stress fall in two-syllable numbers ending in -ty (e.g., thirty, forty)?|On the first syllable|On the suffix -ty|On both syllables|On the second syllable|On the first syllable|MJC-6_U4_T4.2|30
42|What term describes the natural pitch variation used to signal emotional state like boredom or anger?|Attitudinal intonation|Grammatical intonation|Lexical stress|Phonotactic constraint|Attitudinal intonation|MJC-6_U4_T4.2|30
43|When practicing phrasal verbs in isolation (e.g., turn off, sit down), where does the primary stress fall?|On the main verb|On the preposition / particle|On both equally|On neither|On the preposition / particle|MJC-6_U4_T4.2|30
44|In noun forms derived from phrasal verbs (e.g., a setup, a fallout), where is primary stress placed?|On the particle|On the first element (the verb part)|On the second element|At the end|On the first element (the verb part)|MJC-6_U4_T4.2|30
45|What happens to the stress on a word like thirteen when followed immediately by a stressed noun (e.g., thirteen apples)?|Stress shifts to the first syllable to avoid stress clash|Stress moves to the noun only|Stress is dropped completely|Pitch rises on -teen|Stress shifts to the first syllable to avoid stress clash|MJC-6_U4_T4.2|30
46|Which feature of prosody refers to the speed at which utterances are spoken?|Pitch|Tempo / Rate of speech|Stress|Loudness|Tempo / Rate of speech|MJC-6_U4_T4.2|30
47|What prosodic feature involves brief silences used to mark grammatical boundaries in speech?|Intonation|Pausing / Juncture|Aspiration|Voicing|Pausing / Juncture|MJC-6_U4_T4.2|30
48|In prosodic drills, what is the pitch range of an individual speaker called?|Tone unit|Pitch level / Key|Aspirated scale|Foot length|Pitch level / Key|MJC-6_U4_T4.2|30
49|When practicing alternative questions (e.g., Would you like tea or coffee?), what is the intonation pattern?|Rising on tea, falling on coffee|Falling on tea, rising on coffee|Rising on both|Falling on both|Rising on tea, falling on coffee|MJC-6_U4_T4.2|30
50|What is the ultimate goal of practicing prosodic drills in applied linguistics?|To memorize IPA symbols|To master natural rhythm, correct stress, and clear intonation in spoken English|To analyze written literature|To study ancient word origins|To master natural rhythm, correct stress, and clear intonation in spoken English|MJC-6_U4_T4.2|30
