id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|شاد عظیم آبادی کی غزل گوئی کو اردو ادب میں کس خصوصیت کی بنا پر منفرد مقام حاصل ہے؟|کلاسیکی روایت اور جدید فکر کا حسین امتزاج|صرف قدیم ایہام گوئی کی پیروی|صرف لکھنوی ابتذال کی نقل|صرف غیر ملکی مضامین کو اپنانا|کلاسیکی روایت اور جدید فکر کا حسین امتزاج|MIC-4_U3_T3.2.3|30
2|شاد عظیم آبادی کی غزل کا بنیادی لہجہ کس صفت سے متصف ہے؟|دھیما، سنجیدہ، متین اور پرتاثر|پرشور اور طوفانی|نعرہ بازی پر مبنی|غیر سنجیدہ اور مزاحیہ|دھیما، سنجیدہ، متین اور پرتاثر|MIC-4_U3_T3.2.3|30
3|شاد نے دبستانِ لکھنؤ کے شوخ اسلوب کے مقابلے میں اپنی انفرادیت کیسے قائم کی؟|سوز، داخلیت اور معنوی گہرائی کو ترجیح دے کر|صرف لفظی نمائش کر کے|صرف عریانیت اپنا کر|غزل کہنا چھوڑ کر|سوز، داخلیت اور معنوی گہرائی کو ترجیح دے کر|MIC-4_U3_T3.2.3|30
4|شاد عظیم آبادی کی غزل میں "تصوف" کا انداز کیسا ہے؟|اخلاقی، باوقار اور حیات آفریں|خشک اور ناصحانہ|بے معنی اور بوجھل|تارک الدنیا بنا دینے والا|اخلاقی، باوقار اور حیات آفریں|MIC-4_U3_T3.2.3|30
5|شاد کی غزل گوئی کا معنوی وصف "تلاشِ ذات" ان کے کس شعر سے سب سے زیادہ واضح ہوتا ہے؟|ڈھونڈھتا پھرتا ہوں اے شاد خود کو|ہستی اپنی حباب کی سی ہے|دلِ ناداں تجھے ہوا کیا ہے|سن تو سہی جہاں میں ہے|ڈھونڈھتا پھرتا ہوں اے شاد خود کو|MIC-4_U3_T3.2.3|30
6|شاد عظیم آبادی کی غزل گوئی میں کس عظیم کلاسیکی شاعر کی سادگی اور سوز کا عکس ملتا ہے؟|میر تقی میر|مرزا سودا|امام بخش ناسخ|شیخ ابراہیم ذوق|میر تقی میر|MIC-4_U3_T3.2.3|30
7|شاد کی انفرادیت ان کی زبان و بیان میں کس طرح ظاہر ہوتی ہے؟|روزمرہ، سلاست اور بہار کے مقامی محاورے کی چاشنی سے|سخت اور پیچیدہ عربی الفاظ سے|صرف سنسکرت کی آمیزش سے|غیر فصیح دکنی الفاظ سے|روزمرہ، سلاست اور بہار کے مقامی محاورے کی چاشنی سے|MIC-4_U3_T3.2.3|30
8|شاد عظیم آبادی نے غزل کے موضوعات کو کن نئے آفاق سے روشناس کرایا؟|فلسفۂ حیات، خود شناسی اور معاشی و سماجی تفکر سے|صرف شاہی قصائد سے|صرف فرضی داستانوں سے|صرف جنگی واقعات سے|فلسفۂ حیات، خود شناسی اور معاشی و سماجی تفکر سے|MIC-4_U3_T3.2.3|30
9|شاد کی غزل گوئی کس جغرافیائی خطے کے ادبی وقار کی علامت مانی جاتی ہے؟|عظیم آباد (بہار)|دکن|پنجاب|بنگال|عظیم آباد (بہار)|MIC-4_U3_T3.2.3|30
10|شاد عظیم آبادی کو اردو غزل میں کس دور کا معمار یا پل کہا جاتا ہے؟|کلاسیکی اور جدید غزل کا درمیانی پل|صرف دکنی دور کا معمار|صرف فارسی اسلوب کا نقال|جدید ترین آزاد نظم کا بانی|کلاسیکی اور جدید غزل کا درمیانی پل|MIC-4_U3_T3.2.3|30
11|شاد عظیم آبادی کی شاعری کا محبوب کیسا ہے؟|باوقار، شریف اور معنوی لطافت سے پر|بازاری اور عامیانہ|سفاک دشمن|صرف خیالی فرشتہ|باوقار، شریف اور معنوی لطافت سے پر|MIC-4_U3_T3.2.3|30
12|شاد کی غزل میں "حزن و اداسی" کا رنگ کیسا ہے؟|وقار اور خود داری سے آراستہ اداسی|بزدلی اور چیخ و پکار والی اداسی|خودکشی کی طرف لے جانے والی اداسی|بے معنی مایوسی|وقار اور خود داری سے آراستہ اداسی|MIC-4_U3_T3.2.3|30
13|شاد نے اپنی غزل میں کس شائرانہ ترکیب کے بے جا استعمال سے پرہیز کیا؟|صنائع بدائع اور لفظی ڈراما سے|سادگی سے|روانی سے|سلیس الفاظ سے|صنائع بدائع اور لفظی ڈراما سے|MIC-4_U3_T3.2.3|30
14|شاد عظیم آبادی کی غزل میں "روانی" اور "ترنم" کی بنیادی وجہ کیا ہے؟|الفاظ کی باہمی نشست اور بحور کا عمدہ انتخاب|مشکل قوافی کی تکرار|لمبے اور غیر مربوط مصرعے|صرف فارسی تراکیب|الفاظ کی باہمی نشست اور بحور کا عمدہ انتخاب|MIC-4_U3_T3.2.3|30
15|شاد عظیم آبادی کے کلام میں "خود احتسابی" (Self-Reflection) کا کیا اثر ہے؟|انسان کو اپنی خامیوں اور زندگی کے راز سمجھنے کی طرف مائل کرنا|انسان کو مایوس کرنا|غرور پیدا کرنا|دنیا سے بھگانا|انسان کو اپنی خامیوں اور زندگی کے راز سمجھنے کی طرف مائل کرنا|MIC-4_U3_T3.2.3|30
16|شاد کی غزل گوئی کو جدید دور کے کن شعرا کا پیش رو مانا جاتا ہے؟|حسرت موہانی اور یگانہ چنگیزی|میر و سودا|ناسخ و آتش|ولی و سراج|حسرت موہانی اور یگانہ چنگیزی|MIC-4_U3_T3.2.3|30
17|شاد کے نزدیک شاعری بنیادی طور پر کیا تھی؟|جذبات، فکر اور حقیقتِ زندگی کا صداقت آمیز اظہار|صرف درباری ملازمت|وقت گزاری کا کھیل|صرف روپیہ کمانے کا ذریعہ|جذبات، فکر اور حقیقتِ زندگی کا صداقت آمیز اظہار|MIC-4_U3_T3.2.3|30
18|شاد عظیم آبادی نے غزل کو کس قسم کی ساخت اور ہیئت میں برقرار رکھا؟|کلاسیکی ہیئت کے اندر رہتے ہوئے نئے مضامین بھرے|کلاسیکی ہیئت کو توڑ دیا|آزاد غزل لکھی|صرف نظم کی شکل میں لکھا|کلاسیکی ہیئت کے اندر رہتے ہوئے نئے مضامین بھرے|MIC-4_U3_T3.2.3|30
